"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Wwox",4.00057237625024e-08,-0.352555716173591,0.781,0.839,0.00092341211588608,"Wwox"
"Arhgap26",4.06109475389393e-08,0.303415297815298,0.953,0.901,0.000937381891093796,"Arhgap26"
"Ppa1",5.44396153542868e-08,0.617556193342997,0.505,0.358,0.00125657520160765,"Ppa1"
"Stradb",5.54841888569509e-08,0.567416100736748,0.398,0.253,0.00128068604719614,"Stradb"
"Dlat",5.57765813596015e-08,0.373266347683728,0.87,0.807,0.00128743505094232,"Dlat"
"Pnpla2",7.1634280710853e-08,0.452972829556614,0.69,0.554,0.00165346246736791,"Pnpla2"
"Ddx5",7.88535303437881e-08,0.296549712920102,0.932,0.873,0.00182009718739532,"Ddx5"
"Atp2a2",8.68128225279867e-08,-0.362827053185498,0.854,0.874,0.00200381356959099,"Atp2a2"
"Zfp652",8.73946626984942e-08,-0.50351605497222,0.664,0.739,0.00201724360440664,"Zfp652"
"Gucd1",1.32520400743142e-07,-0.589567847509437,0.711,0.723,0.0030588358899532,"Gucd1"
"Dbp",1.40084198248963e-07,0.760092522983121,0.26,0.146,0.00323342346398257,"Dbp"
"Loxl1",1.58798326568434e-07,0.736378321466433,0.359,0.231,0.0036653829738526,"Loxl1"
"Osbpl1a",1.60867519334492e-07,0.514012332483703,0.576,0.43,0.00371314408127874,"Osbpl1a"
"Lrig1",2.21463120998681e-07,0.613541413772343,0.354,0.22,0.00511181175889155,"Lrig1"
